"","路線名","駅名","X2011年","X2012年","X2013年"
"1","横浜線","橋本駅",120482,122254,125510
"2","横浜線","相模原駅",55716,56566,57552
"3","横浜線","矢部駅",22646,22960,23594
"4","横浜線","淵野辺駅",78700,80870,74276
"5","横浜線","古淵駅",42626,43370,44614
"6","横浜線","相原駅（参考）",20198,20392,20842
"7","横浜線","町田駅（参考）",218084,221086,221880
"8","相模線","南橋本駅",10378,10426,10820
"9","相模線","上溝駅",10702,11204,11600
"10","相模線","番田駅",6384,6630,7076
"11","相模線","原当麻駅",8266,8834,9030
"12","相模線","下溝駅",2016,2128,2252
"13","相模線","相武台下駅",2070,2282,2406
"14","中央本線","相模湖駅",6586,5118,5144
"15","中央本線","藤野駅",5382,5310,5352
"16","中央本線","高尾駅（参考）",59936,59766,60568
"17","中央本線","八王子駅（参考）",162948,165042,170382
"18","小田急線","相模大野駅",120113,122453,128006
"19","小田急線","小田急相模原駅",54366,55530,56767
"20","小田急線","東林間駅",21152,21420,21584
"21","小田急線","町田駅（参考）",288884,291678,292779
"22","小田急線","相武台前駅（参考）",37931,38110,38869
"23","小田急線","唐木田（参考）",21096,21330,21719
"24","京王線","橋本駅（京王）",87242,88377,91060
"25","京王線","多摩境駅（参考）",17184,17582,18471
