Site01	Site02	Site03
-10.5	-0.7	9.9
-8.7	0.9	9.6
-6.5	0.2	9.8
-7.1	-0.2	9.9
-9.1	-0.6	9.9
-11	-0.3	10.4
-8.1	1.3	10.7
-9.8	1.3	10.7
-11.4	0.4	10.4
-8.2	1.3	10.4
-7.6	1.3	9.9
-6.1	2.3	9.8
-5.3	1.7	9.7
-5.5	0.1	9.9
-4.8	-0.1	10.4
-6.6	-0.8	9.9
-6.2	1.1	10.1
-6	1.9	9.9
-5.4	1.7	10.2
-8.7	1	10.8
-8.9	1.7	10.5
-8.4	1.2	10.4
-7.7	1.3	10.8
-9.1	0.9	10.4
-9.9	1.4	10.6
-9.9	1.8	10.6
-7.4	2.8	10.7
-6.4	2.7	11
-4.7	2.2	10.9
-5.1	2.9	11.4
-3.7	1.3	11.5
-3	2.9	11.7
-999	1.6	12
-999	2.4	12.1
-999	1.5	12.2
-999	2.2	11.7
-999	1.4	11.4
-999	1.1	12
-999	2.5	12.1
-999	1.8	11.5
-999	2.6	11.2
-999	2.8	11.2
-4.5	3.3	11.4
-4.1	3.1	11.4
-5.5	3.7	11.4
-3.3	3.1	12.2
-2.1	2.5	12.3
-2	2.7	12.5
-4.1	4.5	12.3
-4	3.9	12.2
-3.4	5.2	13
-4.2	5.1	13
-3.5	5.8	13.2
-2	4.7	13.5
-3.7	6	13.1
-5.5	4.6	13.4
-4.9	5.7	13.7
-1.4	6.3	13.8
-4	6.4	14.3
-5	6.7	14.2
-3.3	6	14.1
-1.6	5.4	13.9
-3.4	7	14.5
-0.1	7.2	14.9
0.9	8.3	14.8
-0.8	7.7	14.3
0.1	6.4	14.6
0.3	7.7	14.3
-2.1	6.7	14.3
-2.2	6.3	15
1.7	6.4	15.4
0.2	6.6	15.1
3.2	8.3	15.3
3.9	7.5	15.2
3.2	8.7	15.9
1.3	9.6	15.8
4	10.3	15.6
1.4	9.7	16.4
0.8	9.8	16.4
1.6	10.4	16.6
4.3	10.5	16.3
3.5	9.5	17
2.5	9.9	17
5.4	11.5	17.2
3.1	11.3	16.8
2.4	10.1	16.6
4	9.7	17.4
2.9	11.6	18
4.8	11.1	17.8
3	10.9	18.3
2.8	11.9	18.3
6.9	12.7	17.7
6.4	12.1	18.4
8.9	11.2	18
7.4	12.3	18.7
8.9	11.6	18.8
8.2	12	18.5
6.7	12.9	18.3
6.7	12.3	19.2
6.3	13	18.9
